0,1,2,3,4,5,6
img_00943.jpg,223.596249308,408.237479074,307.536839077,164.244200502,1280,750
img_05654.jpg,362.195303779,734.660993303,567.691519601,244.031532833,1280,720
img_00376.jpg,196.04403632,259.310956682,192.193320138,158.689122881,1280,720
img_00921.jpg,403.296898432,539.986354283,342.81716483,336.741771696,1280,720
img_04382.jpg,505.961700236,606.964285714,386.595458985,378.231611797,1280,974
img_04370.jpg,204.794916425,377.822745187,293.135811942,136.712616512,1280,720
img_02180.jpg,354.756284441,503.224966867,386.856340681,294.753913879,1280,720
img_04321.jpg,239.010118757,336.649758475,198.605739049,176.356671197,1280,720
img_05682.jpg,279.859395708,333.222525461,186.841975621,229.470479148,1280,720
img_01102.jpg,311.817601204,532.743500028,419.555352381,228.017384052,1518,854
img_07371.jpg,501.778892722,579.373212543,406.054120745,354.314973559,1280,974
img_05260.jpg,212.933014461,377.644435338,325.984039307,172.197978156,1280,720
img_04757.jpg,156.069349561,217.699541365,174.953133719,132.495337895,1280,720
img_07352.jpg,345.162953648,525.125296457,383.518720354,280.063544001,1280,750
img_05273.jpg,251.736602783,437.483825683,369.174063546,193.92606599,1280,720
img_04268.jpg,224.065303802,289.903455462,180.428128923,183.796745028,1280,720
img_01825.jpg,248.544883251,426.355404343,314.90444398,201.53312993,1518,854
img_00982.jpg,203.998341901,366.277064459,265.806782177,134.435940811,1192,670
img_02679.jpg,62.5361752511,123.607703856,63.2554201739,32.109878242,1518,854
img_06962.jpg,247.275000981,293.619144985,193.896745954,211.12002509,1280,720
img_00726.jpg,109.712809324,201.084463937,118.667984009,66.2015357186,1280,750
img_00723.jpg,0,37.5998312661,32.8746646132,0,1334,750
img_04532.jpg,90.9409189224,114.828992571,108.818980626,90.429349627,1280,720
img_01649.jpg,208.31483296,376.86479841,271.165836879,143.881820951,1280,720
img_07474.jpg,283.610858917,511.278773717,455.545392718,237.928676605,1280,720
img_04811.jpg,49.2822793979,50.6703622001,0,41.0706613744,1280,750
img_03677.jpg,249.408972604,487.057800293,324.005148751,180.527515412,1280,720
img_00223.jpg,416.313024249,694.497855051,586.759469166,327.297600338,1280,720
img_05253.jpg,244.012193714,291.318359375,186.655469622,197.068351848,1280,974
img_03261.jpg,374.183594839,570.735604422,490.467834473,307.745222364,1280,720
img_05508.jpg,163.971912861,286.364201137,186.498914446,39.9361066818,1280,924
img_00648.jpg,166.259484632,387.903878348,294.084036691,0,1280,750
img_04324.jpg,327.117417473,574.24278232,436.9962383,220.068877357,1276,718
img_06681.jpg,357.1465465,655.790361674,501.722455706,215.017743792,1280,720
img_06780.jpg,283.463671548,385.062561035,295.749293736,220.861415863,1280,720
img_00518.jpg,181.22202158,283.377423967,205.87160383,113.862735885,1280,750
img_02231.jpg,0,0,0,0,1280,720
img_07428.jpg,251.911721911,478.351527623,337.130606515,166.343233926,1280,720
img_04795.jpg,314.402814593,376.997244699,239.89717756,270.618348803,1280,720
img_00730.jpg,318.27174323,449.858180455,292.90902274,243.511840275,1280,720
