image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00943.jpg,0.999979972839,5.84904569223e-07,5.02225702803e-07,2.26502152145e-07,3.12293036586e-06,2.38791635354e-08,1.01057435131e-06,1.45517924466e-05
img_05654.jpg,0.999997377396,2.0057531458e-07,7.77142588504e-07,1.1904293018e-07,4.1077584001e-07,1.61871902549e-08,5.14610576374e-07,5.88754517139e-07
img_00376.jpg,0.936931788921,0.00434894254431,0.00209476915188,0.000511154998094,0.00118091597687,0.00621228152886,0.000417261413531,0.0483028665185
img_00921.jpg,0.998393237591,7.67516539781e-05,5.96174577367e-05,4.19048155891e-05,1.21293014672e-05,0.00045842808322,4.54068904219e-05,0.000912537740078
img_04382.jpg,0.00156898749992,0.000420470052632,0.327357649803,0.00197789212689,6.21133294771e-05,0.00153375393711,0.000100790944998,0.666978359222
img_04370.jpg,0.999959588051,1.58552700213e-06,2.49271488428e-06,9.17097713682e-06,2.83297890746e-06,1.92340380067e-07,2.15249292523e-06,2.19111898332e-05
img_02180.jpg,0.657662928104,0.00698952376842,0.000466522964416,0.000166339916177,0.00014432950411,0.334465920925,4.32506094512e-05,6.12508956692e-05
img_04321.jpg,0.000458284979686,0.000786532240454,1.48066819747e-05,1.77479851118e-05,1.27807174977e-06,4.32130673289e-06,2.37367912632e-05,0.998693287373
img_05682.jpg,0.92915558815,0.000633698771708,0.000461098417873,0.000194207837922,0.000134386893478,0.00373563333414,0.000283186906017,0.0654022619128
img_01102.jpg,0.256543517113,0.00845161546022,0.0092546697706,0.00714992405847,0.193482622504,0.000159997172887,0.000366240332369,0.524591386318
img_07371.jpg,0.00124774151482,1.68601309269e-05,0.000147488783114,4.0531380364e-05,9.80019308372e-07,8.79581057234e-05,1.56611204147e-05,0.998442709446
img_05260.jpg,0.994525671005,2.08185138035e-05,0.00514346826822,0.000131273613079,6.8272606768e-07,1.94458652913e-06,0.00010129702423,7.48902384657e-05
img_04757.jpg,0.931367695332,0.0142868952826,0.00330224772915,0.00232964963652,0.000568794901483,0.0305444579571,0.00746749807149,0.0101327374578
img_07352.jpg,0.99999666214,1.39411639566e-07,1.57564386427e-07,3.59614062972e-07,1.13038936433e-07,6.60905552508e-09,2.55498946444e-07,2.33938953897e-06
img_05273.jpg,0.996708750725,0.000183918498806,0.000321996572893,8.88817230589e-05,0.000120656623039,0.000161766030942,0.000177965732291,0.0022361590527
img_04268.jpg,0.998309731483,2.20074707613e-05,2.01861585083e-05,4.45449404651e-06,8.29737757613e-07,6.04922706771e-06,3.13865962198e-06,0.00163361395244
img_01825.jpg,0.00101862824522,0.99890434742,1.14275135275e-05,2.96126036119e-05,5.36468860446e-08,1.25183447608e-07,6.97964560459e-06,2.87418952212e-05
img_00982.jpg,0.157899513841,0.0452425964177,0.00138558261096,0.00124327791855,0.793178021908,1.6510441128e-05,0.000743734184653,0.00029069907032
img_02679.jpg,0.929770588875,0.0287527386099,0.000303034990793,0.000104790429759,0.00116170558613,5.48627904209e-05,0.000111427834781,0.0397409126163
img_06962.jpg,0.83859193325,0.0583202391863,0.00217010988854,0.000935423129704,2.52529443969e-05,0.00125828245655,0.0946990028024,0.00399965094402
img_00726.jpg,0.999987483025,1.09380380309e-06,1.32160550947e-06,2.47139865905e-07,1.82393398518e-06,1.9134350282e-07,2.84053862742e-06,4.96845041198e-06
